Revision;Release Date;Model;PCB Revision;Memory;Notes;
Beta;Q1 2012;B (Beta); ?;256 MB;Beta Board
2;Q1 2012;B;1.0;256 MB;
3;Q3 2012;B (ECN0001);1.0;256 MB;Fuses mod and D14 removed
4;Q3 2012;B;2.0;256 MB;(Mfg by Sony)
5;Q4 2012;B;2.0;256 MB;(Mfg by Qisda)
6;Q4 2012;B;2.0;256 MB;(Mfg by Egoman)
7;Q1 2013;A;2.0;256 MB;(Mfg by Egoman)
8;Q1 2013;A;2.0;256 MB;(Mfg by Sony)
9;Q1 2013;A;2.0;256 MB;(Mfg by Qisda)
000d;Q4 2012;B;2.0;512 MB;(Mfg by Egoman)
000e;Q4 2012;B;2.0;512 MB;(Mfg by Sony)
000f;Q4 2012;B;2.0;512 MB;(Mfg by Qisda)
10;Q3 2014;B+;1.0;512 MB;(Mfg by Sony)
11;Q2 2014;Compute Module 1;1.0;512 MB;(Mfg by Sony)
12;Q4 2014;A+;1.1;256 MB;(Mfg by Sony)
13;Q1 2015;B+;1.2;512 MB; ?
14;Q2 2014;Compute Module 1;1.0;512 MB;(Mfg by Embest)
15; ?;A+;1.1;256 MB / 512 MB;(Mfg by Embest)
a01040;Unknown;2 Model B;1.0;1 GB;(Mfg by Sony)
a01041;Q1 2015;2 Model B;1.1;1 GB;(Mfg by Sony)
a21041;Q1 2015;2 Model B;1.1;1 GB;(Mfg by Embest)
a22042;Q3 2016;2 Model B (with BCM2837);1.2;1 GB;(Mfg by Embest)
900021;Q3 2016;A+;1.1;512 MB;(Mfg by Sony)
900032;Q2 2016?;B+;1.2;512 MB;(Mfg by Sony)
900092;Q4 2015;Zero;1.2;512 MB;(Mfg by Sony)
900093;Q2 2016;Zero;1.3;512 MB;(Mfg by Sony)
920093;Q4 2016?;Zero;1.3;512 MB;(Mfg by Embest)
9000c1;Q1 2017;Zero W;1.1;512 MB;(Mfg by Sony)
a02082;Q1 2016;3 Model B;1.2;1 GB;(Mfg by Sony)
a020a0;Q1 2017;Compute Module 3 (and CM3 Lite);1.0;1 GB;(Mfg by Sony)
a22082;Q1 2016;3 Model B;1.2;1 GB;(Mfg by Embest)
a32082;Q4 2016;3 Model B;1.2;1 GB;(Mfg by Sony Japan)
a020d3;Q1 2018;3 Model B+;1.3;1 GB;(Mfg by Sony)
a020d4;?;3 Model B+;1.4;1 GB;(Mfg by Sony)
9020e0;Q4 2018;3 Model A+;1.0;512 MB;(Mfg by Sony)
9020e1;?;3 Model A+;1.1;512 MB;(Mfg by Sony)
a02100;Q1 2019;Compute Module 3+;1.0;1 GB;(Mfg by Sony)
a03111;Q2 2019;4 Model B;1.1;1 GB;(Mfg by Sony)
b03111;Q2 2019;4 Model B;1.1;2 GB;(Mfg by Sony)
c03111;Q2 2019;4 Model B;1.1;4 GB;(Mfg by Sony)
a03112;?;4 Model B;1.2;1 GB;(Mfg by Sony)
a03114;?;4 Model B;1.4;1 GB;(Mfg by Sony)
a03115;?;4 Model B;1.5;1 GB;(Mfg by Sony)
b03112;Q2 2019;4 Model B;1.2;2 GB;(Mfg by Sony)
b03114;Q2 2020;4 Model B;1.4;2 GB;(Mfg by Sony)
b03115;Q1 2022;4 Model B;1.5;2 GB;(Mfg by Sony)
c03112;Q2 2019;4 Model B;1.2;4 GB;(Mfg by Sony)
c03114;Q2 2020;4 Model B;1.4;4 GB;(Mfg by Sony)
c03115;Q1 2022;4 Model B;1.5;4 GB;(Mfg by Sony)
d03114;Q2 2020;4 Model B;1.4;8 GB;(Mfg by Sony)
d03115;Q1 2022;4 Model B;1.5;8 GB;(Mfg by Sony)
a03140;Q4 2020;Compute Module 4;1.0;1 GB;(Mfg by Sony)
a03141;Q2 2022;Compute Module 4;1.1;1 GB;(Mfg by Sony)
b03140;Q4 2020;Compute Module 4;1.0;2 GB;(Mfg by Sony)
b03141;Q2 2022;Compute Module 4;1.1;2 GB;(Mfg by Sony)
c03140;Q4 2020;Compute Module 4;1.0;4 GB;(Mfg by Sony)
c03141;Q2 2022;Compute Module 4;1.1;4 GB;(Mfg by Sony)
d03140;Q4 2020;Compute Module 4;1.0;8 GB;(Mfg by Sony)
d03141;Q2 2022;Compute Module 4;1.1;8 GB;(Mfg by Sony)
a03150;?;Compute Module 4S;1.0;1 GB;(Mfg by Sony)
b03150;?;Compute Module 4S;1.0;2 GB;(Mfg by Sony)
c03150;?;Compute Module 4S;1.0;4 GB;(Mfg by Sony)
d03150;?;Compute Module 4S;1.0;8 GB;(Mfg by Sony)
b04170;Q4 2023;5;1.0;2GB;(Mfg by Sony)
c04170;Q4 2023;5;1.0;4GB;(Mfg by Sony)
d04170;Q4 2023;5;1.0;8GB;(Mfg by Sony)